[K] 	 [W m-2 sr-1] 
5980.0	7594973.450966034
6000.0	7680359.111926659
6020.0	7766182.780832269
6040.0	7852442.859339218
6060.0	7939137.745868324
6080.0	8026265.83584769
6100.0	8113825.52195041
6120.0	8201815.1943272585
6140.0	8290233.240834399
6160.0	8379078.047256244
6180.0	8468347.997523475
6200.0	8558041.473926354
6220.0	8648156.85732335
6240.0	8738692.527345216
6260.0	8829646.862594502
6280.0	8921018.240840673
6300.0	9012805.039210815
6320.0	9105005.634376064
6340.0	9197618.402733788
6360.0	9290641.72058562
6380.0	9384073.964311387
6400.0	9477913.510538992
6420.0	9572158.736310383
6440.0	9666808.019243587
6460.0	9761859.73769093
6480.0	9857312.270893494
6500.0	9953163.999131877
6520.0	10049413.303873312
6540.0	10146058.567915214
6560.0	10243098.175525215
6580.0	10340530.51257776
6600.0	10438353.966687297
6620.0	10536566.927338155
6640.0	10635167.786011137
6660.0	10734154.936306903
6680.0	10833526.774066214
6700.0	10933281.697487058
6720.0	11033418.107238745
6740.0	11133934.406573026
6760.0	11234829.001432251
6780.0	11336100.300554678
6800.0	11437746.715576943
6820.0	11539766.661133768
6840.0	11642158.554954933
6860.0	11744920.817959588
6880.0	11848051.874347951
6900.0	11951550.151690431
6920.0	12055414.081014208
6940.0	12159642.096887385
6960.0	12264232.637500677
6980.0	12369184.144746738
7000.0	12474495.064297121
7020.0	12580163.845677024
7040.0	12686188.942337714
7060.0	12792568.811726784
7080.0	12899301.915356258
7100.0	13006386.71886858
7120.0	13113821.69210051
7140.0	13221605.309145022
7160.0	13329736.04841118
7180.0	13438212.392682077
7200.0	13547032.82917087
7220.0	13656195.84957493
7240.0	13765699.95012815
7260.0	13875543.631651467
7280.0	13985725.399601648
7300.0	14096243.764118273
7320.0	14207097.240069117
7340.0	14318284.34709383
7360.0	14429803.609646002
7380.0	14541653.557033636
7400.0	14653832.723458087
7420.0	14766339.648051474
7440.0	14879172.874912588
7460.0	14992330.953141352
7480.0	15105812.436871856
7500.0	15219615.88530401
7520.0	15333739.8627338
7540.0	15448182.938582232
7560.0	15562943.687422946
7580.0	15678020.689008584
7600.0	15793412.528295891
7620.0	15909117.795469556
7640.0	16025135.085964913
7660.0	16141463.000489445
7680.0	16258100.145043133
7700.0	16375045.130937703
7720.0	16492296.574814765
7740.0	16609853.098662892
7760.0	16727713.32983365
7780.0	16845875.9010566
7800.0	16964339.45045331
7820.0	17083102.62155038
7840.0	17202164.063291527
7860.0	17321522.430048723
7880.0	17441176.381632432
7900.0	17561124.58330095
7920.0	17681365.705768898
7940.0	17801898.425214827
7960.0	17922721.423288036
7980.0	18043833.38711455
8000.0	18165233.00930234
8020.0	18286918.98794573
8040.0	18408890.0266291
8060.0	18531144.83442981
8080.0	18653682.125920445
8100.0	18776500.62117035
8120.0	18899599.045746446
8140.0	19022976.130713455
8160.0	19146630.612633422
8180.0	19270561.23356461
8200.0	19394766.74105979
8220.0	19519245.88816395
8240.0	19643997.43341136
8260.0	19769020.14082214
8280.0	19894312.779898204
8300.0	20019874.125618722
8320.0	20145702.958435014
8340.0	20271798.064264942
8360.0	20398158.2344868
8380.0	20524782.265932724
8400.0	20651668.960881624
8420.0	20778817.12705167
8440.0	20906225.57759228
8460.0	21033893.131075732
8480.0	21161818.611488327
8500.0	21290000.84822111
8520.0	21418438.67606025
8540.0	21547130.935176983
8560.0	21676076.471117187
8580.0	21805274.13479059
8600.0	21934722.782459617
8620.0	22064421.27572793
8640.0	22194368.481528547
8660.0	22324563.272111714
8680.0	22455004.525032405
8700.0	22585691.12313757
8720.0	22716621.954553016
8740.0	22847795.91267005
8760.0	22979211.89613183
8780.0	23110868.80881942
8800.0	23242765.559837643
8820.0	23374901.06350057
8840.0	23507274.239316892
8860.0	23639884.011974953
8880.0	23772729.31132763
8900.0	23905809.072376896
8920.0	24039122.235258266
8940.0	24172667.74522496
8960.0	24306444.55263195
8980.0	24440451.612919666
9000.0	24574687.886597708
9020.0	24709152.339228213
9040.0	24843843.94140914
9060.0	24978761.66875735
9080.0	25113904.50189155
9100.0	25249271.42641505
9120.0	25384861.432898425
9140.0	25520673.51686195
9160.0	25656706.67875799
9180.0	25792959.92395321
9200.0	25929432.262710642
9220.0	26066122.7101717
9240.0	26203030.28633799
9260.0	26340154.016053088
9280.0	26477492.92898416
9300.0	26615046.059603542
9320.0	26752812.447170142
9340.0	26890791.135710817
9360.0	27028981.174001653
9380.0	27167381.615549155
9400.0	27305991.51857134
9420.0	27444809.94597879
9440.0	27583835.965355646
9460.0	27723068.648940478
9480.0	27862507.07360717
9500.0	28002150.320845693
9520.0	28141997.47674284
9540.0	28282047.631962944
9560.0	28422299.88172849
9580.0	28562753.325800747
9600.0	28703407.068460345
9620.0	28844260.218487747
9640.0	28985311.889143825
9660.0	29126561.198150285
9680.0	29268007.267670155
9700.0	29409649.224288143
9720.0	29551486.198991127
9740.0	29693517.327148486
9760.0	29835741.7484925
9780.0	29978158.607098736
9800.0	30120767.05136635
9820.0	30263566.23399853
9840.0	30406555.31198276
9860.0	30549733.446571227
9880.0	30693099.803261157
9900.0	30836653.551775176
9920.0	30980393.86604169
9940.0	31124319.924175248
9960.0	31268430.908456925
9980.0	31412726.005314738
10000.0	31557204.405304044
10020.0	31701865.303088013
10040.0	31846707.897418033
10060.0	31991731.39111423
10080.0	32136934.99104594
10100.0	32282317.908112273
10120.0	32427879.357222598
10140.0	32573618.55727719
10160.0	32719534.731147826
10180.0	32865627.105658405
10200.0	33011894.91156567
10220.0	33158337.383539874
10240.0	33304953.760145556
10260.0	33451743.28382235
10280.0	33598705.200865775
10300.0	33745838.76140812
10320.0	33893143.21939937
10340.0	34040617.83258815
10360.0	34188261.8625027
10380.0	34336074.57443199
10400.0	34484055.23740676
10420.0	34632203.124180645
10440.0	34780517.51121142
10460.0	34928997.678642236
10480.0	35077642.91028286
10500.0	35226452.493591085
10520.0	35375425.719654106
10540.0	35524561.88316995
10560.0	35673860.282429054
10580.0	35823320.21929573
10600.0	35972940.99918989
10620.0	36122721.93106866
10640.0	36272662.32740815
10660.0	36422761.50418526
10680.0	36573018.78085951
10700.0	36723433.480354965
10720.0	36874004.92904227
10740.0	37024732.45672062
10760.0	37175615.39659992
10780.0	37326653.085282914
10800.0	37477844.86274748
10820.0	37629190.07232888
10840.0	37780688.0607021
10860.0	37932338.177864365
10880.0	38084139.77711757
10900.0	38236092.21505086
10920.0	38388194.851523265
10940.0	38540447.049646385
10960.0	38692848.175767176
10980.0	38845397.59945076
11000.0	38998094.69346335
11020.0	39150938.83375518
11040.0	39303929.39944361
11060.0	39457065.7727962
11080.0	39610347.33921385
11100.0	39763773.48721413
11120.0	39917343.608414575
11140.0	40071057.097516015
11160.0	40224913.352286115
11180.0	40378911.77354288
11200.0	40533051.76513824
11220.0	40687332.73394179
11240.0	40841754.089824446
11260.0	40996315.245642334
11280.0	41151015.61722066
11300.0	41305854.62333771
11320.0	41460831.685708776
11340.0	41615946.22897041
11360.0	41771197.680664524
11380.0	41926585.47122264
11400.0	42082109.03395025
11420.0	42237767.805011205
11440.0	42393561.223412186
11460.0	42549488.730987236
11480.0	42705549.77238239
11500.0	42861743.79504039
11520.0	43018070.2491854
11540.0	43174528.58780787
11560.0	43331118.26664947
11580.0	43487838.74418802
11600.0	43644689.48162259
11620.0	43801669.942858614
11640.0	43958779.59449307
11660.0	44116017.90579979
11680.0	44273384.3487148
11700.0	44430878.39782168
11720.0	44588499.530337185
11740.0	44746247.22609666
11760.0	44904120.96753978
11780.0	45062120.23969621
11800.0	45220244.530171424
11820.0	45378493.32913248
11840.0	45536866.12929408
11860.0	45695362.42590443
11880.0	45853981.71673138
11900.0	46012723.50204854
11920.0	46171587.2846215
11940.0	46330572.56969414
11960.0	46489678.86497494
11980.0	46648905.68062339
12000.0	46808252.52923658
